analyst_model,runs,unique_articles,raw_mean,bsi_mean,delta_mean,delta_median,delta_sd,delta_min,delta_max,bsi_wins,raw_wins,ties
gemini-3.5-flash,10,5,6.905,8.723,1.818,1.995,0.9127,-0.5,3.0500000000000007,9,1,0
gemini-3.6-flash,2,1,5.95,8.625,2.675,2.675,0.825,1.8500000000000005,3.499999999999999,2,0,0
gemini-3.7-flash,14,7,5.7836,8.3107,2.5271,3.225,2.0295,-3.3899999999999997,5.45,13,1,0
gpt-4o-mini,1,1,7.2,8.35,1.15,1.15,0,1.1499999999999995,1.1499999999999995,1,0,0
llama-3.3-70b-versatile,9,8,7.1833,6.8944,-0.2889,0.35,2.742,-7.050000000000001,2.45,6,3,0
nvidia/nemotron-3-ultra-550b-a55b:free,48,32,6.5669,7.6531,1.0862,1.29,1.1213,-1.4499999999999993,4.35,39,8,1
openai/gpt-oss-20b,28,11,6.9929,6.8975,-0.0954,0.475,2.6491,-6.65,4.8,17,10,1
openai/gpt-oss-20b:free,1,1,6.45,8.2,1.75,1.75,0,1.7499999999999991,1.7499999999999991,1,0,0
